ID,MEDIDA,UNIDAD_MEDIDA,ESPECIFICACION_EMPACADO,UNIDAD_ESPECIFICACION_EMPACADO
7308,705,gr,54819,pesoGR
7309,762,ml,444149,volumenCm3
7310,832,gr,880514,volumenCm3
7311,787,gr,748167,volumenCm3
7312,843,gr,974593,pesoGR
7313,254,ml,200900,volumenCm3
7314,182,gr,858836,volumenCm3
7315,923,ml,429666,volumenCm3
7316,310,ml,413883,volumenCm3
7317,505,gr,414328,volumenCm3
7318,95,gr,325882,pesoGR
7319,9,gr,935348,volumenCm3
7320,991,ml,720279,volumenCm3
7321,174,ml,595652,volumenCm3
7322,154,ml,892175,volumenCm3
7323,890,ml,162973,volumenCm3
7324,588,ml,716949,volumenCm3
7325,730,ml,421057,volumenCm3
7326,287,gr,308366,volumenCm3
7327,748,gr,834985,volumenCm3
7328,344,ml,236642,pesoGR
7329,247,ml,29196,volumenCm3
7330,868,gr,9173,pesoGR
7331,22,gr,651924,volumenCm3
7332,321,ml,85885,pesoGR
7333,179,gr,799636,pesoGR
7334,178,gr,80062,volumenCm3
7335,473,ml,828751,volumenCm3
7336,323,ml,234894,pesoGR
7337,188,ml,630100,pesoGR
7338,445,ml,547543,pesoGR
7339,760,gr,214172,pesoGR
7340,6,ml,697551,pesoGR
7341,109,ml,301979,pesoGR
7342,659,gr,70413,pesoGR
7343,772,gr,475230,volumenCm3
7344,141,gr,132191,volumenCm3
7345,101,ml,24435,pesoGR
7346,645,ml,599931,volumenCm3
7347,40,ml,371880,volumenCm3
7348,534,gr,476185,volumenCm3
7349,966,ml,424900,volumenCm3
7350,391,gr,956236,volumenCm3
7351,29,ml,214586,pesoGR
7352,540,gr,137223,volumenCm3
7353,494,gr,848829,pesoGR
7354,582,ml,662680,pesoGR
7355,739,gr,172554,volumenCm3
7356,749,ml,645200,volumenCm3
7357,431,ml,325364,volumenCm3
7358,524,gr,753715,pesoGR
7359,227,ml,126884,pesoGR
7360,328,gr,321258,pesoGR
7361,237,ml,470330,pesoGR
7362,80,gr,428863,pesoGR
7363,771,ml,421911,pesoGR
7364,779,gr,120865,pesoGR
7365,673,gr,48775,pesoGR
7366,525,ml,380734,volumenCm3
7367,398,gr,757979,pesoGR
7368,441,ml,369614,pesoGR
7369,185,gr,36268,volumenCm3
7370,771,ml,43641,pesoGR
7371,666,gr,874956,volumenCm3
7372,699,ml,302958,volumenCm3
7373,959,ml,499571,volumenCm3
7374,314,ml,303849,pesoGR
7375,762,ml,486316,volumenCm3
7376,973,ml,835383,volumenCm3
7377,538,ml,419138,pesoGR
7378,604,gr,346958,pesoGR
7379,942,gr,406286,pesoGR
7380,428,gr,800112,pesoGR
7381,250,ml,589206,volumenCm3
7382,131,ml,44481,pesoGR
7383,600,gr,482362,volumenCm3
7384,1,ml,332905,pesoGR
7385,879,gr,928407,pesoGR
7386,740,ml,924308,pesoGR
7387,265,gr,127572,volumenCm3
7388,345,gr,769135,pesoGR
7389,38,gr,751259,volumenCm3
7390,241,ml,108491,volumenCm3
7391,301,gr,747098,volumenCm3
7392,490,ml,948354,volumenCm3
7393,153,gr,775657,pesoGR
7394,905,gr,6903,pesoGR
7395,67,ml,643219,pesoGR
7396,301,ml,548767,pesoGR
7397,969,ml,743102,pesoGR
7398,791,ml,316648,volumenCm3
7399,639,ml,747926,pesoGR
7400,670,gr,443182,pesoGR
7401,960,gr,704773,pesoGR
7402,202,gr,9842,volumenCm3
7403,569,gr,599566,pesoGR
7404,462,ml,478821,pesoGR
7405,939,gr,695379,volumenCm3
7406,666,gr,750206,pesoGR
7407,893,gr,713965,pesoGR
7408,616,gr,650022,pesoGR
7409,986,ml,6207,pesoGR
7410,805,gr,246560,volumenCm3
7411,608,ml,796364,pesoGR
7412,630,ml,737833,pesoGR
7413,291,ml,580511,pesoGR
7414,621,ml,651156,volumenCm3
7415,228,gr,176706,volumenCm3
7416,863,ml,322430,pesoGR
7417,762,gr,537590,pesoGR
7418,434,gr,306377,volumenCm3
7419,723,gr,962881,volumenCm3
7420,163,ml,425601,volumenCm3
7421,249,gr,686036,pesoGR
7422,254,gr,177581,volumenCm3
7423,534,gr,914718,volumenCm3
7424,922,gr,542422,pesoGR
7425,155,ml,910232,pesoGR
7426,226,ml,793980,pesoGR
7427,469,gr,676599,pesoGR
7428,814,gr,858104,pesoGR
7429,468,gr,434750,volumenCm3
7430,357,gr,397429,pesoGR
7431,198,ml,114752,volumenCm3
7432,877,gr,241815,pesoGR
7433,886,gr,33611,pesoGR
7434,990,gr,719934,pesoGR
7435,12,gr,827553,pesoGR
7436,570,ml,867483,pesoGR
7437,674,gr,898263,pesoGR
7438,549,gr,947941,pesoGR
7439,268,gr,12675,volumenCm3
7440,849,ml,300147,pesoGR
7441,750,gr,655934,pesoGR
7442,222,gr,946024,volumenCm3
7443,255,ml,794164,pesoGR
7444,717,ml,94904,pesoGR
7445,134,ml,203410,volumenCm3
7446,879,gr,795658,volumenCm3
7447,529,gr,689245,pesoGR
7448,349,gr,732666,pesoGR
7449,585,gr,543280,pesoGR
7450,67,gr,190588,pesoGR
7451,320,gr,74978,pesoGR
7452,943,ml,219906,volumenCm3
7453,887,gr,947455,volumenCm3
7454,133,ml,377841,pesoGR
7455,206,gr,803005,pesoGR
7456,591,ml,488690,pesoGR
7457,528,ml,618022,volumenCm3
7458,867,ml,828894,pesoGR
7459,278,gr,345902,volumenCm3
7460,760,ml,949880,volumenCm3
7461,883,ml,664884,volumenCm3
7462,379,gr,300648,pesoGR
7463,822,ml,598483,pesoGR
7464,894,ml,159967,pesoGR
7465,894,ml,563298,volumenCm3
7466,963,gr,686261,pesoGR
7467,492,ml,93968,pesoGR
7468,913,gr,988619,volumenCm3
7469,268,ml,336936,pesoGR
7470,185,ml,229743,volumenCm3
7471,87,gr,994702,pesoGR
7472,716,ml,60455,volumenCm3
7473,703,ml,780221,volumenCm3
7474,721,ml,667010,pesoGR
7475,731,gr,327699,pesoGR
7476,754,gr,365919,volumenCm3
7477,321,gr,918424,pesoGR
7478,446,gr,190368,volumenCm3
7479,760,gr,833284,volumenCm3
7480,480,ml,789034,pesoGR
7481,411,gr,97577,pesoGR
7482,710,ml,734595,volumenCm3
7483,17,gr,354607,pesoGR
7484,325,gr,70870,pesoGR
7485,40,gr,152055,pesoGR
7486,427,gr,786618,pesoGR
7487,827,gr,937416,volumenCm3
7488,318,ml,310141,volumenCm3
7489,439,gr,527063,volumenCm3
7490,352,gr,716923,volumenCm3
7491,417,gr,981557,pesoGR
7492,209,ml,143992,volumenCm3
7493,696,ml,836251,volumenCm3
7494,256,gr,386885,pesoGR
7495,606,gr,75742,volumenCm3
7496,701,gr,912250,pesoGR
7497,107,ml,23269,pesoGR
7498,348,ml,606691,volumenCm3
7499,769,ml,550400,pesoGR
7500,364,ml,400365,pesoGR
7501,324,gr,172385,volumenCm3
7502,694,gr,971839,pesoGR
7503,847,gr,283113,pesoGR
7504,315,gr,648302,volumenCm3
7505,28,gr,623994,pesoGR
7506,955,ml,219466,pesoGR
7507,925,gr,398482,volumenCm3
7508,811,ml,291531,volumenCm3
7509,335,gr,211596,volumenCm3
7510,571,ml,426463,pesoGR
7511,716,ml,749430,pesoGR
7512,941,ml,898323,pesoGR
7513,628,gr,160801,pesoGR
7514,193,gr,852932,pesoGR
7515,318,gr,124571,volumenCm3
7516,218,gr,794132,pesoGR
7517,438,ml,225171,pesoGR
7518,423,gr,523349,volumenCm3
7519,914,gr,57595,pesoGR
7520,467,ml,169882,pesoGR
7521,312,ml,491415,pesoGR
7522,875,ml,890824,pesoGR
7523,779,ml,75020,volumenCm3
7524,29,gr,197159,volumenCm3
7525,584,ml,928064,pesoGR
7526,30,gr,433173,volumenCm3
7527,473,gr,405781,volumenCm3
7528,651,gr,669909,pesoGR
7529,972,gr,967559,pesoGR
7530,986,ml,939845,volumenCm3
7531,930,gr,949328,pesoGR
7532,560,ml,277951,pesoGR
7533,588,ml,551538,volumenCm3
7534,224,ml,291747,volumenCm3
7535,106,ml,822262,volumenCm3
7536,696,ml,465988,volumenCm3
7537,685,ml,490864,pesoGR
7538,341,gr,403647,pesoGR
7539,193,gr,22870,pesoGR
7540,708,ml,621909,pesoGR
7541,702,gr,249650,pesoGR
7542,80,ml,490,volumenCm3
7543,31,ml,306413,volumenCm3
7544,574,gr,757158,volumenCm3
7545,908,ml,425391,volumenCm3
7546,851,ml,284253,volumenCm3
7547,711,gr,947482,volumenCm3
7548,682,gr,970394,pesoGR
7549,93,ml,514404,volumenCm3
7550,199,gr,564110,pesoGR
7551,880,ml,533563,pesoGR
7552,208,gr,641370,pesoGR
7553,991,gr,12319,pesoGR
7554,5,ml,362081,volumenCm3
7555,14,ml,286531,volumenCm3
7556,582,ml,490978,volumenCm3
7557,162,ml,613280,pesoGR
7558,96,gr,876454,pesoGR
7559,242,gr,949441,pesoGR
7560,742,gr,300710,volumenCm3
7561,140,ml,666577,volumenCm3
7562,994,gr,662506,volumenCm3
7563,795,gr,162795,volumenCm3
7564,551,ml,292706,volumenCm3
7565,452,gr,333644,volumenCm3
7566,576,gr,366329,pesoGR
7567,921,gr,977422,pesoGR
7568,175,gr,371834,pesoGR
7569,899,gr,70344,volumenCm3
7570,606,gr,730329,volumenCm3
7571,894,gr,423513,pesoGR
7572,752,ml,936016,volumenCm3
7573,591,gr,803126,volumenCm3
7574,278,gr,772020,volumenCm3
7575,608,gr,931030,volumenCm3
7576,1000,gr,496573,pesoGR
7577,226,ml,738741,volumenCm3
7578,622,gr,677258,volumenCm3
7579,623,ml,347644,pesoGR
7580,72,gr,931326,pesoGR
7581,780,gr,539050,pesoGR
7582,784,ml,103071,pesoGR
7583,519,gr,768210,volumenCm3
7584,70,ml,744204,volumenCm3
7585,442,gr,292097,pesoGR
7586,290,gr,384250,volumenCm3
7587,174,ml,626993,pesoGR
7588,286,ml,232416,volumenCm3
7589,613,ml,657811,volumenCm3
7590,782,ml,770820,volumenCm3
7591,930,gr,452820,volumenCm3
7592,522,ml,189647,pesoGR
7593,518,ml,418951,volumenCm3
7594,444,ml,799082,volumenCm3
7595,949,gr,503746,volumenCm3
7596,833,gr,177054,pesoGR
7597,661,ml,255348,volumenCm3
7598,209,gr,865458,pesoGR
7599,230,gr,56369,pesoGR
7600,83,gr,558971,volumenCm3
7601,36,ml,19599,pesoGR
7602,355,gr,516847,volumenCm3
7603,1,ml,658866,pesoGR
7604,515,gr,282284,pesoGR
7605,783,ml,995155,pesoGR
7606,503,ml,321159,volumenCm3
7607,281,gr,54627,pesoGR
7608,381,gr,37090,volumenCm3
7609,450,gr,813087,pesoGR
7610,453,gr,681439,volumenCm3
7611,735,ml,817156,pesoGR
7612,748,gr,597484,pesoGR
7613,434,gr,910921,pesoGR
7614,705,ml,4086,volumenCm3
7615,675,ml,173075,volumenCm3
7616,508,gr,822067,pesoGR
7617,526,ml,2603,volumenCm3
7618,148,ml,849217,volumenCm3
7619,237,ml,487318,pesoGR
7620,331,gr,446233,pesoGR
7621,291,ml,513409,pesoGR
7622,880,ml,714359,pesoGR
7623,679,gr,541909,pesoGR
7624,199,gr,395913,pesoGR
7625,935,gr,875510,volumenCm3
7626,916,gr,853312,pesoGR
7627,400,gr,598290,volumenCm3
7628,243,ml,171678,pesoGR
7629,404,gr,784863,volumenCm3
7630,616,gr,596352,volumenCm3
7631,873,gr,576079,volumenCm3
7632,840,gr,342616,pesoGR
7633,390,ml,229152,volumenCm3
7634,585,ml,23263,pesoGR
7635,847,gr,400065,volumenCm3
7636,60,gr,607599,volumenCm3
7637,93,ml,77841,volumenCm3
7638,775,gr,436817,pesoGR
7639,579,ml,357190,volumenCm3
7640,369,ml,569799,volumenCm3
7641,91,gr,116277,pesoGR
7642,299,gr,373294,volumenCm3
7643,822,gr,963815,pesoGR
7644,752,gr,109618,volumenCm3
7645,414,gr,796586,volumenCm3
7646,723,gr,115155,volumenCm3
7647,781,gr,36010,volumenCm3
7648,1000,gr,874576,pesoGR
7649,25,gr,698460,volumenCm3
7650,640,ml,809876,volumenCm3
7651,644,gr,135761,volumenCm3
7652,928,gr,587203,volumenCm3
7653,509,ml,836267,volumenCm3
7654,23,ml,266102,volumenCm3
7655,855,gr,624583,volumenCm3
7656,486,ml,944089,volumenCm3
7657,496,ml,72985,pesoGR
7658,745,ml,529507,volumenCm3
7659,464,ml,758601,volumenCm3
7660,194,gr,242297,pesoGR
7661,896,gr,450847,pesoGR
7662,203,gr,442874,pesoGR
7663,524,ml,141366,volumenCm3
7664,51,ml,731212,pesoGR
7665,144,ml,595159,volumenCm3
7666,703,ml,64002,volumenCm3
7667,186,gr,139530,pesoGR
7668,193,gr,165503,pesoGR
7669,342,gr,485242,volumenCm3
7670,338,gr,495898,volumenCm3
7671,381,ml,139646,volumenCm3
7672,141,ml,129131,volumenCm3
7673,312,ml,36463,volumenCm3
7674,865,gr,402303,volumenCm3
7675,203,ml,630918,pesoGR
7676,350,gr,980157,volumenCm3
7677,90,gr,524245,volumenCm3
7678,265,gr,659352,pesoGR
7679,822,gr,133214,pesoGR
7680,487,gr,884407,volumenCm3
7681,437,gr,188314,volumenCm3
7682,426,gr,777423,pesoGR
7683,145,gr,589669,volumenCm3
7684,212,gr,111643,volumenCm3
7685,175,gr,82818,volumenCm3
7686,857,gr,402022,pesoGR
7687,715,gr,205421,pesoGR
7688,877,ml,168910,pesoGR
7689,561,gr,822576,volumenCm3
7690,796,ml,500189,volumenCm3
7691,718,gr,436701,pesoGR
7692,234,ml,930452,pesoGR
7693,476,ml,249179,volumenCm3
7694,620,ml,9506,volumenCm3
7695,539,ml,596074,pesoGR
7696,172,gr,871509,volumenCm3
7697,150,ml,181225,volumenCm3
7698,583,gr,297761,volumenCm3
7699,308,ml,986436,volumenCm3
7700,580,gr,754237,pesoGR
7701,653,gr,219541,volumenCm3
7702,863,ml,613611,volumenCm3
7703,842,ml,756707,volumenCm3
7704,832,gr,844659,volumenCm3
7705,947,gr,899195,volumenCm3
7706,925,ml,83345,pesoGR
7707,807,ml,204712,volumenCm3
7708,258,gr,397893,pesoGR
7709,95,gr,900589,pesoGR
7710,949,gr,970680,pesoGR
7711,797,gr,495426,pesoGR
7712,775,gr,272838,pesoGR
7713,721,gr,368922,volumenCm3
7714,123,gr,751122,volumenCm3
7715,467,gr,571738,pesoGR
7716,487,ml,271477,pesoGR
7717,727,ml,924085,pesoGR
7718,535,gr,463054,pesoGR
7719,997,ml,692487,pesoGR
7720,197,ml,486880,volumenCm3
7721,483,ml,846616,pesoGR
7722,496,gr,529472,volumenCm3
7723,86,gr,233864,pesoGR
7724,650,gr,171580,volumenCm3
7725,537,ml,987228,volumenCm3
7726,787,ml,10121,pesoGR
7727,66,ml,219074,volumenCm3
7728,140,ml,313357,volumenCm3
7729,245,gr,587111,pesoGR
7730,142,ml,524709,pesoGR
7731,217,gr,912310,pesoGR
7732,401,ml,894458,volumenCm3
7733,602,gr,39796,pesoGR
7734,65,gr,261344,pesoGR
7735,591,ml,336723,pesoGR
7736,66,ml,420731,pesoGR
7737,320,gr,547542,volumenCm3
7738,5,gr,46962,pesoGR
7739,806,ml,354812,pesoGR
7740,814,gr,664532,volumenCm3
7741,986,ml,933983,volumenCm3
7742,813,ml,655392,volumenCm3
7743,706,ml,987034,volumenCm3
7744,149,ml,452023,pesoGR
7745,72,ml,137958,volumenCm3
7746,29,ml,24088,pesoGR
7747,527,ml,10990,pesoGR
7748,557,gr,835837,pesoGR
7749,330,ml,942333,pesoGR
7750,970,ml,118216,volumenCm3
7751,954,gr,928306,pesoGR
7752,354,gr,320272,volumenCm3
7753,577,ml,808313,volumenCm3
7754,917,gr,990082,pesoGR
7755,979,ml,782643,volumenCm3
7756,951,gr,557709,volumenCm3
7757,850,ml,473239,volumenCm3
7758,260,ml,785673,pesoGR
7759,506,ml,483642,pesoGR
7760,4,ml,608556,volumenCm3
7761,515,gr,211731,pesoGR
7762,487,ml,764218,volumenCm3
7763,804,ml,869526,volumenCm3
7764,754,gr,375351,volumenCm3
7765,682,ml,618087,volumenCm3
7766,794,gr,9281,volumenCm3
7767,512,ml,670488,pesoGR
7768,523,gr,199500,volumenCm3
7769,803,ml,697545,pesoGR
7770,185,ml,164891,volumenCm3
7771,508,gr,816248,volumenCm3
7772,838,ml,873629,pesoGR
7773,188,gr,37198,pesoGR
7774,449,ml,290080,pesoGR
7775,141,gr,121646,volumenCm3
7776,732,gr,173442,volumenCm3
7777,258,ml,409169,pesoGR
7778,537,ml,589184,pesoGR
7779,457,ml,750804,volumenCm3
7780,526,gr,48897,pesoGR
7781,823,gr,997525,volumenCm3
7782,311,gr,774847,pesoGR
7783,761,ml,485115,pesoGR
7784,617,ml,770582,volumenCm3
7785,80,gr,148286,volumenCm3
7786,325,gr,538620,pesoGR
7787,253,gr,301995,volumenCm3
7788,728,gr,825543,pesoGR
7789,916,gr,951053,pesoGR
7790,417,ml,681118,pesoGR
7791,857,gr,731358,pesoGR
7792,854,ml,802883,volumenCm3
7793,312,ml,963931,pesoGR
7794,153,gr,883539,volumenCm3
7795,469,gr,66404,pesoGR
7796,919,gr,585678,volumenCm3
7797,172,ml,351306,volumenCm3
7798,704,ml,336383,pesoGR
7799,976,gr,78635,volumenCm3
7800,428,ml,141206,pesoGR
7801,164,ml,924172,volumenCm3
7802,334,gr,209422,volumenCm3
7803,544,ml,920886,volumenCm3
7804,386,gr,171427,volumenCm3
7805,388,ml,234419,volumenCm3
7806,973,gr,839841,volumenCm3
7807,251,gr,432859,volumenCm3
7808,411,ml,709355,pesoGR
7809,933,gr,47318,pesoGR
7810,883,ml,899957,pesoGR
7811,723,gr,201843,pesoGR
7812,57,ml,310738,volumenCm3
7813,492,gr,315712,volumenCm3
7814,329,ml,775152,volumenCm3
7815,535,ml,84786,pesoGR
7816,646,gr,482365,volumenCm3
7817,460,gr,263201,volumenCm3
7818,334,ml,83144,volumenCm3
7819,847,ml,481494,pesoGR
7820,238,ml,158146,pesoGR
7821,566,gr,151052,volumenCm3
7822,923,gr,938428,volumenCm3
7823,918,ml,180039,pesoGR
7824,118,ml,13055,volumenCm3
7825,995,ml,25622,volumenCm3
7826,437,ml,191415,volumenCm3
7827,940,gr,239180,volumenCm3
7828,59,ml,856108,volumenCm3
7829,620,ml,152343,volumenCm3
7830,919,gr,765185,pesoGR
7831,17,ml,235831,volumenCm3
7832,931,ml,191826,pesoGR
7833,617,gr,473884,volumenCm3
7834,242,ml,43553,volumenCm3
7835,352,gr,245530,pesoGR
7836,270,ml,186422,pesoGR
7837,258,ml,968170,volumenCm3
7838,78,ml,187852,pesoGR
7839,349,gr,269639,pesoGR
7840,755,gr,510077,pesoGR
7841,636,gr,530210,pesoGR
7842,413,gr,928657,pesoGR
7843,820,ml,106627,volumenCm3
7844,240,ml,951291,pesoGR
7845,735,ml,990335,pesoGR
7846,209,ml,450889,volumenCm3
7847,743,gr,122453,pesoGR
7848,382,ml,975461,volumenCm3
7849,507,ml,921106,volumenCm3
7850,321,gr,286054,pesoGR
7851,904,gr,13344,pesoGR
7852,331,gr,151616,pesoGR
7853,875,ml,593194,volumenCm3
7854,758,gr,528198,volumenCm3
7855,8,gr,28127,volumenCm3
7856,430,ml,663637,volumenCm3
7857,232,ml,155331,volumenCm3
7858,136,gr,835979,pesoGR
7859,99,ml,731957,pesoGR
7860,657,ml,481476,pesoGR
7861,604,ml,200934,volumenCm3
7862,783,gr,399152,pesoGR
7863,619,gr,394246,volumenCm3
7864,457,ml,515166,pesoGR
7865,332,gr,879773,volumenCm3
7866,493,gr,947375,pesoGR
7867,458,gr,118229,pesoGR
7868,521,ml,536172,pesoGR
7869,21,gr,552771,volumenCm3
7870,498,gr,296281,pesoGR
7871,742,ml,142210,volumenCm3
7872,528,ml,47334,pesoGR
7873,634,ml,734448,volumenCm3
7874,488,gr,237518,pesoGR
7875,195,ml,253398,volumenCm3
7876,372,ml,967905,pesoGR
7877,616,gr,563709,pesoGR
7878,858,gr,195079,pesoGR
7879,153,gr,150484,volumenCm3
7880,939,ml,871062,volumenCm3
7881,419,ml,412225,volumenCm3
7882,791,ml,645025,pesoGR
7883,551,ml,201717,pesoGR
7884,219,gr,856473,pesoGR
7885,257,ml,427914,volumenCm3
7886,719,ml,431696,volumenCm3
7887,407,gr,610740,pesoGR
7888,674,ml,701534,pesoGR
7889,820,ml,645147,volumenCm3
7890,164,ml,452606,pesoGR
7891,46,gr,709776,pesoGR
7892,415,ml,978263,pesoGR
7893,119,ml,576849,pesoGR
7894,617,gr,856045,pesoGR
7895,593,gr,454568,pesoGR
7896,729,gr,735034,volumenCm3
7897,69,gr,827601,pesoGR
7898,263,ml,741836,volumenCm3
7899,820,gr,445911,pesoGR
7900,760,ml,848505,pesoGR
7901,532,ml,6831,volumenCm3
7902,708,gr,690500,pesoGR
7903,22,ml,488844,volumenCm3
7904,838,ml,162514,volumenCm3
7905,506,gr,230202,pesoGR
7906,653,ml,740427,pesoGR
7907,986,ml,719212,volumenCm3
7908,168,ml,803682,pesoGR
7909,512,ml,664794,pesoGR
7910,370,gr,279894,volumenCm3
7911,47,gr,703340,volumenCm3
7912,839,gr,194717,volumenCm3
7913,949,ml,541180,volumenCm3
7914,985,ml,68291,pesoGR
7915,759,ml,666321,volumenCm3
7916,881,ml,354644,volumenCm3
7917,913,gr,524950,pesoGR
7918,228,gr,821893,volumenCm3
7919,415,gr,918952,volumenCm3
7920,721,ml,766008,pesoGR
7921,316,ml,633205,pesoGR
7922,431,gr,281944,volumenCm3
7923,365,gr,29017,pesoGR
7924,24,gr,130909,pesoGR
7925,289,gr,184503,volumenCm3
7926,845,gr,347254,volumenCm3
7927,8,gr,203548,volumenCm3
7928,517,gr,702968,pesoGR
7929,199,gr,130408,pesoGR
7930,610,gr,954966,volumenCm3
7931,197,ml,196728,volumenCm3
7932,251,gr,723356,pesoGR
7933,315,ml,749836,volumenCm3
7934,143,ml,440196,volumenCm3
7935,350,gr,639503,volumenCm3
7936,996,ml,519720,pesoGR
7937,452,ml,939983,pesoGR
7938,555,ml,342888,volumenCm3
7939,181,ml,510646,pesoGR
7940,634,gr,488749,pesoGR
7941,762,gr,463842,pesoGR
7942,575,gr,77323,pesoGR
7943,911,gr,463150,pesoGR
7944,156,gr,485391,pesoGR
7945,615,ml,23652,volumenCm3
7946,168,gr,398112,volumenCm3
7947,129,gr,427323,volumenCm3
7948,157,gr,560683,pesoGR
7949,544,gr,631190,volumenCm3
7950,778,gr,742778,volumenCm3
7951,897,ml,989598,volumenCm3
7952,855,gr,819908,volumenCm3
7953,666,ml,781776,pesoGR
7954,161,ml,859953,volumenCm3
7955,657,gr,431090,pesoGR
7956,252,gr,856649,pesoGR
7957,214,gr,475080,volumenCm3
7958,879,gr,689179,pesoGR
7959,795,gr,129303,pesoGR
7960,643,ml,256945,pesoGR
7961,328,gr,361584,pesoGR
7962,550,ml,429698,pesoGR
7963,631,gr,861776,volumenCm3
7964,819,gr,911501,pesoGR
7965,734,gr,995181,volumenCm3
7966,806,ml,804947,volumenCm3
7967,869,gr,334737,pesoGR
7968,644,ml,714258,pesoGR
7969,289,gr,269409,volumenCm3
7970,924,gr,598005,volumenCm3
7971,281,gr,673498,volumenCm3
7972,606,ml,986870,pesoGR
7973,882,gr,639201,volumenCm3
7974,85,ml,523413,volumenCm3
7975,414,ml,374815,volumenCm3
7976,176,gr,662799,volumenCm3
7977,51,ml,190014,pesoGR
7978,330,gr,248635,pesoGR
7979,698,ml,146569,pesoGR
7980,89,gr,855385,pesoGR
7981,631,gr,237290,pesoGR
7982,963,gr,793310,volumenCm3
7983,161,ml,6030,pesoGR
7984,808,gr,752687,volumenCm3
7985,725,ml,106824,volumenCm3
7986,650,ml,749830,pesoGR
7987,368,ml,449254,volumenCm3
7988,870,ml,229829,pesoGR
7989,616,ml,182747,pesoGR
7990,578,ml,152773,pesoGR
7991,398,ml,347339,pesoGR
7992,869,ml,732153,volumenCm3
7993,337,ml,496993,volumenCm3
7994,917,gr,921109,volumenCm3
7995,167,ml,266476,volumenCm3
7996,30,gr,708434,pesoGR
7997,688,gr,597980,pesoGR
7998,172,gr,103613,pesoGR
7999,188,ml,137995,volumenCm3
8000,129,gr,153492,pesoGR
8001,399,gr,777683,pesoGR
8002,522,ml,363000,pesoGR
8003,392,gr,957454,pesoGR
8004,33,ml,695982,pesoGR
8005,338,ml,552144,pesoGR
8006,819,gr,781567,volumenCm3
8007,625,ml,299242,pesoGR
8008,628,gr,766590,pesoGR
8009,302,ml,630804,pesoGR
8010,354,gr,665070,pesoGR
8011,232,gr,703531,pesoGR
8012,819,gr,786914,pesoGR
8013,650,gr,516723,volumenCm3
8014,733,ml,234038,pesoGR
8015,389,gr,691350,volumenCm3
8016,489,ml,101952,volumenCm3
8017,600,ml,155849,pesoGR
8018,589,gr,653525,volumenCm3
8019,164,gr,920488,volumenCm3
8020,773,gr,103507,pesoGR
8021,100,ml,536619,volumenCm3
8022,623,ml,307585,volumenCm3
8023,750,gr,408602,pesoGR
8024,72,gr,971015,volumenCm3
8025,89,gr,980690,volumenCm3
8026,875,ml,156613,pesoGR
8027,883,ml,540032,volumenCm3
8028,956,ml,967194,volumenCm3
8029,385,gr,311309,pesoGR
8030,596,ml,868641,pesoGR
8031,37,gr,914240,pesoGR
8032,946,ml,100949,pesoGR
8033,314,ml,369416,pesoGR
8034,840,ml,577634,volumenCm3
8035,60,ml,278724,volumenCm3
8036,794,gr,790306,pesoGR
8037,388,gr,42633,volumenCm3
8038,1000,ml,87523,pesoGR
8039,173,gr,621187,volumenCm3
8040,678,gr,907877,volumenCm3
8041,820,gr,164834,pesoGR
8042,966,ml,981813,pesoGR
8043,594,ml,35956,pesoGR
8044,820,gr,790398,pesoGR
8045,568,ml,504839,pesoGR
8046,566,ml,249690,volumenCm3
8047,934,ml,681000,volumenCm3
8048,504,ml,467531,pesoGR
8049,811,gr,528651,volumenCm3
8050,997,gr,449648,pesoGR
8051,486,ml,168798,volumenCm3
8052,568,ml,824423,pesoGR
8053,473,ml,255725,volumenCm3
8054,134,gr,978341,pesoGR
8055,332,ml,969459,volumenCm3
8056,319,gr,947437,volumenCm3
8057,377,ml,400456,volumenCm3
8058,439,gr,757544,pesoGR
8059,238,ml,522603,pesoGR
8060,254,gr,582596,volumenCm3
8061,414,gr,733179,volumenCm3
8062,2,gr,702080,pesoGR
8063,364,gr,284243,volumenCm3
8064,498,ml,775799,pesoGR
8065,64,ml,969319,volumenCm3
8066,411,ml,66819,volumenCm3
8067,191,ml,907079,pesoGR
8068,495,gr,970703,volumenCm3
8069,198,ml,307325,volumenCm3
8070,898,ml,854888,volumenCm3
8071,866,ml,746223,volumenCm3
8072,600,gr,538117,volumenCm3
8073,331,gr,235876,volumenCm3
8074,958,ml,296994,volumenCm3
8075,162,ml,179964,volumenCm3
8076,385,gr,428802,volumenCm3
8077,454,gr,859237,volumenCm3
8078,949,ml,221942,volumenCm3
8079,325,ml,385353,volumenCm3
8080,171,ml,542404,pesoGR
8081,977,ml,484945,pesoGR
8082,370,ml,227144,pesoGR
8083,864,ml,323868,pesoGR
8084,892,ml,48693,pesoGR
8085,614,gr,621048,volumenCm3
8086,860,ml,312972,volumenCm3
8087,172,ml,933620,pesoGR
8088,641,ml,457614,volumenCm3
8089,538,gr,633312,volumenCm3
8090,275,ml,831007,pesoGR
8091,659,ml,338146,pesoGR
8092,937,ml,406169,volumenCm3
8093,502,gr,65771,pesoGR
8094,727,gr,684719,pesoGR
8095,873,ml,270772,pesoGR
8096,803,gr,29808,volumenCm3
8097,322,ml,913233,volumenCm3
8098,573,gr,365278,volumenCm3
8099,677,gr,982947,pesoGR
8100,426,gr,173194,volumenCm3
8101,528,gr,946942,volumenCm3
8102,102,ml,855835,pesoGR
8103,174,ml,703779,pesoGR
